indice,titulo,artista,ano,nivel_toxicidade,abuso_emocional,ciume_possessividade,dependencia,objetificacao,violencia_traicao,justificativa
0,Vehicle,Ides Of March,1970.0,baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. O eu-lírico apresenta uma proposta de viagem e amor, mas não há coerção ou manipulação na mensagem. A letra também não possui frases que reforçam dependência emocional ou submissão. Pelo contrário, a música serve como exemplo de oferta de amor e companhia sem qualquer elemento prejudicial à saúde emocional."
1,S&M;,Rihanna,2011.0,muito alto,False,False,False,False,False,"A letra da música ""S&M"" de Rihanna contém referências explícitas a BDSM e sadomasoquismo, além de expressar uma preferência por práticas que podem ser consideradas abusivas ou violentes. Essas frases incluem: - ""Sticks and stones may break my bones / But chains and whips excite me"" - A letra sugere que a dor física é desejável e excitante para o eu-lírico, naturalizando práticas violentes. - ""The affliction of the feeling leaves me wanting more"" - Essa frase sugere uma dependência emocional ou sexual na dor e nos atos abusivos. - ""Love is great, love is fine / Out the box, outta line"" - A letra romantiza a ideia de que o amor é melhor fora do comum e transgressivo, sem respeito pelas normas sociais ou éticas."
2,In The Night,Weeknd,2016.0,muito alto,False,False,False,False,False,"A letra descreve uma situação em que a protagonista é submetida a violência e abuso, sendo forçada a dançar para aliviar o doloroso passado. O eu-lírico não se opõe ao comportamento do agressor e mesmo reconhece sua capacidade de ""tudo"". A letra também sugere que a protagonista está num estado de dependência emocional, sendo incapaz de sair da situação abusiva. Esses elementos são característicos de relações tóxicas e podem naturalizar ou validar comportamentos abusivos."
3,Layla,Derek and The Dominos,1972.0,alto,False,False,False,False,False,"""(What'll you do when you get lonely / And nobody's waiting by your side)"" e ""(I tried to give you consolation / When your old man had let you down)"" expressam preocupação com o estado emocional da pessoa, mas também podem ser interpretados como códigos para um relacionamento tóxico ou infiel. ""(Like a fool, I fell in love with you / Turned my whole world upside down)"" e ""(Let's make the best of the situation / Before I finally go insane)"" reforçam o ciclo de dependência emocional dentro da relação, sugerindo que o eu-lírico se sente culpado por ter entrado no relacionamento. O uso repetido do verbo ""begging"" também pode ser interpretado como um sinal de submissão e baixa autoestima. Por fim, a ausência explícita da pessoa que o eu-lírico está se referindo (""Layla"") pode indicar uma relação tóxica ou infiel, já que não há clareza sobre quem é realmente a pessoa em questão."
4,Beautiful,Akon feat. Colby O'Donis and Kardinal Offishall,2009.0,muito baixo,False,False,False,False,False,"A letra não apresenta frases que validem ou romantizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música foca na admiração e atracção do eu-lírico pela garota, expressando seu desejo de estar com ela sem pressão ou submissão. Além disso, há uma mensagem positiva sobre respeito à independência da mulher e o reconhecimento de sua beleza interna."
5,Come On Over Baby (All I Want Is You),Christina Aguilera,2000.0,na,False,False,False,False,False,
6,Do Anything,Natural Selection,1991.0,alto,False,False,False,False,False,"A letra apresenta uma dependência emocional intensa e possessiva do eu-lírico, que expressa a necessidade de ter o outro sempre presente. Essas características podem ser prejudiciais à saúde emocional da pessoa envolvida no relacionamento, pois reforçam uma dinâmica de dependência e codependência. Além disso, a letra também expressa um desejo de controlar o outro (""I'll do anything for your loving""), que pode ser prejudicial à autonomia e identidade da pessoa. Por fim, há uma sugestão de violência sexual no verso ""Rock the floors"", embora seja mais subtil em comparação com alguns exemplos anteriores."
7,Carry On,fun.,2013.0,muito baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música serve como exemplo de superação pós-relacionamento tóxico e empoderamento, promovendo autoestima e independência. O eu-lírico reforça sua força e autonomia após o fim do relacionamento, além de enfatizar que ele não é mais aquele ""ghost"" ou fantasma desejado pelo ex-parceiro. A mensagem geral da música é de resiliência e superação pessoal, reforçando que se pode sobreviver e mudar após um relacionamento tóxico."
8,Work It,"Missy ""Misdemeanor"" Elliott",2002.0,na,False,False,False,False,False,"A letra apresenta uma proposta sexual explícita e agressiva, além de referências a prostituição. Embora não haja frases que validem ou romantizem comportamentos abusivos, possessivos ou controladores, a música pode ser considerada como objeto de desejo e fantasia sexualizado, o que pode contribuir para uma visão distorcida sobre relacionamentos saudáveis. Além disso, há referências às mulheres como objetos sexuais passivos, sem autonomy ou poder na situação. Por fim, a letra também apresenta linguagem de baixo calão e sexualizada que pode ser ofensiva para algumas pessoas."
9,Switch,Will Smith,2005.0,muito baixo,False,False,False,False,False,"A letra não possui frases que validem, romantizem ou naturalizem comportamentos abusivos, possessivos, controladores ou qualquer dinâmica prejudicial à saúde emocional. Em vez disso, a música é centrada no entretenimento e na dança, promovendo o divertimento e a liberdade de expressão. Não há referências a relacionamentos ou sentimentos profundos, apenas uma solicitação para as pessoas se moverem e dançarem no clube. A letra não possui conteúdo que promova qualquer comportamento negativo ou prejudicial à saúde emocional das pessoas."
