indice,titulo,artista,ano,score,emotional_abuse,jealousy_possessive,dependency,violence_or_betrayal,justificativa
0,S&M;,Rihanna,2011.0,0.5,False,False,False,False,"a letra fala sobre a artista gostando de ser mau e experimentar novas coisas fora do comum, incluindo práticas sexuais que podem envolver dor ou dominação. essa abordagem pode ser problemática se interpretada como promoção de relacionamentos não consensuais ou violência sexual."
1,Vehicle,Ides Of March,1970.0,0.4,False,False,False,False,"""(i'm the friendly stranger in the black sedan woncha hop inside my car)"", ""(i can take you to the nearest star)"" e ""(i love ya, need ya, wants ya)"" podem ser interpretados como uma proposta de relacionamento não consensual ou forçado. a letra, no geral, naturaliza e glamuriza práticas manipulativas e não consensuais, o que pode ser problemático e potencialmente abusivo."
2,In The Night,Weeknd,2016.0,0.8,False,False,False,False,"a letra romantiza e glamuriza relações abusivas, naturalizando a violência e a submissão como elementos positivos do relacionamento. além disso, a letra também glamuriza a dependência financeira e emocional, além de naturalizar práticas de prostituição. essas representações podem ser problemáticas, pois podem influenciar o público a aceitar relacionamentos abusivos como normais ou desejáveis."
3,Layla,Derek and The Dominos,1972.0,0.6,True,True,True,False,"""(what'll you do when you get lonely and nobody's waiting by your side you've been running and hiding much too long you know it's just your foolish pride)"", ""(layla, i'm begging, darling please layla, darling won't you ease my worried mind)"": expressa dependência emocional e possessividade. o cantor pede para a layla se importar com ele e o aliviar de sua preocupação, mostrando uma dependência emocional excessiva. ""(i tried to give you consolation when your old man had let you down like a fool, i fell in love with you turned my whole world"
4,Beautiful,Akon feat. Colby O'Donis and Kardinal Offishall,2009.0,0.4,False,False,False,False,"a letra romantiza a dependência e o desejo obsessivo de uma pessoa, podendo ser interpretado como validação de dinâmicas abusivas se descontextualizado do consenso dos envolvidos. além disso, a letra glamuriza relacionamentos baseados em dependência e possessão, o que pode ser problemático para aqueles que estão passando por situações semelhantes."
5,Come On Over Baby (All I Want Is You),Christina Aguilera,2000.0,0.6,False,False,False,False,"a letra romantiza e pressiona o interlocutor para que se aproxime e se envolva em um relacionamento, sem mostrar respeito pela sua autonomia ou consentimento. isso pode ser interpretado como uma dinâmica abusiva, pois a mulher não está apenas procurando um relacionamento, mas também pressionando o outro para que se envolva com ela. além disso, a letra naturaliza e erotiza práticas de dor e submissão, podendo ser interpretado como validação de dinâmicas abusivas, especialmente se descontextualizado do consenso do bdsm. a letra, no geral, glamuriza relações baseadas em dor e submissão, o que pode ser problemático se interpret"
6,Do Anything,Natural Selection,1991.0,0.8,False,False,False,False,"a letra romantiza e glamuriza relações baseadas em dependência e possessão, além de naturalizar práticas abusivas como o controle do parceiro. além disso, a letra sugere que o interesse amoroso é tão forte que o indivíduo está disposto a fazer qualquer coisa para manter a relação, mesmo se isso envolver práticas abusivas ou não consensuais. isso pode ser problemático, pois pode incentivar comportamentos abusivos e não saudáveis em relacionamentos."
7,Carry On,fun.,2013.0,0.4,False,False,False,False,"""(if you're lost and alone or you're sinking like a stone carry on)"", ""(may your past be the sound of your feet upon the ground)"": romantiza a dor e o sofrimento como elementos positivos do relacionamento, além de naturalizar a ideia de que se pode superar passados negativos através da força de vontade."
8,Work It,"Missy ""Misdemeanor"" Elliott",2002.0,1.0,False,False,False,False,"a letra apresenta uma proposta sexual explícita e agressiva, além de naturalizar práticas de submissão e objetificação do corpo feminino, o que pode ser interpretado como validação de dinâmicas abusivas."
9,Switch,Will Smith,2005.0,0.4,False,False,False,False,"a letra romantiza a dança e o flerte, mas também naturaliza práticas de troca de parceiros sem respeito às emoções dos outros envolvidos, podendo ser interpretado como validação de dinâmicas não monogâmicas que não consideram as necessidades e sentimentos das pessoas."
